step 0: train loss 10.9286, val loss 10.9274
iter 105: loss 8.2180, time 726.92ms, mfu 54.26%
iter 106: loss 8.3299, time 726.83ms, mfu 54.26%
iter 107: loss 8.1728, time 727.26ms, mfu 54.26%
iter 108: loss 8.2305, time 728.40ms, mfu 54.25%
iter 109: loss 8.4784, time 725.85ms, mfu 54.26%
iter 110: loss 8.3363, time 726.19ms, mfu 54.27%
iter 111: loss 8.1371, time 729.44ms, mfu 54.25%
iter 112: loss 8.1939, time 725.86ms, mfu 54.26%
iter 113: loss 8.2102, time 726.97ms, mfu 54.26%
iter 114: loss 8.0037, time 726.85ms, mfu 54.26%
iter 115: loss 8.0756, time 727.47ms, mfu 54.26%
iter 116: loss 8.1442, time 727.15ms, mfu 54.25%
iter 117: loss 7.9723, time 728.95ms, mfu 54.24%
iter 118: loss 8.1191, time 726.19ms, mfu 54.25%
iter 119: loss 7.9691, time 728.74ms, mfu 54.24%
iter 120: loss 7.9582, time 725.37ms, mfu 54.25%
iter 121: loss 8.0465, time 727.46ms, mfu 54.25%
iter 122: loss 7.8725, time 727.75ms, mfu 54.24%
iter 123: loss 7.7817, time 728.15ms, mfu 54.24%
iter 124: loss 7.7585, time 726.12ms, mfu 54.25%
iter 125: loss 7.8482, time 727.84ms, mfu 54.24%
iter 126: loss 7.7268, time 726.40ms, mfu 54.25%
iter 127: loss 7.7772, time 726.75ms, mfu 54.25%
iter 128: loss 7.8611, time 728.33ms, mfu 54.24%
iter 129: loss 7.7599, time 728.03ms, mfu 54.24%
iter 130: loss 7.6357, time 728.63ms, mfu 54.23%
iter 131: loss 7.7826, time 726.55ms, mfu 54.23%
iter 132: loss 7.6684, time 727.84ms, mfu 54.23%
iter 133: loss 7.5966, time 727.16ms, mfu 54.23%
iter 134: loss 7.6338, time 727.77ms, mfu 54.23%
iter 135: loss 7.7235, time 728.34ms, mfu 54.22%
iter 136: loss 7.6684, time 727.29ms, mfu 54.22%
iter 137: loss 7.4910, time 726.30ms, mfu 54.23%
iter 138: loss 7.7456, time 727.40ms, mfu 54.23%
iter 139: loss 7.7065, time 728.00ms, mfu 54.23%
iter 140: loss 7.4561, time 727.31ms, mfu 54.23%
iter 141: loss 7.6077, time 727.24ms, mfu 54.23%
iter 142: loss 7.4708, time 727.78ms, mfu 54.23%
iter 143: loss 7.6279, time 727.05ms, mfu 54.23%
iter 144: loss 7.3909, time 727.37ms, mfu 54.23%
iter 145: loss 7.5608, time 727.22ms, mfu 54.23%
iter 146: loss 7.4797, time 730.89ms, mfu 54.21%
iter 147: loss 7.5832, time 727.06ms, mfu 54.21%
iter 148: loss 7.5449, time 728.34ms, mfu 54.21%
iter 149: loss 7.4145, time 726.07ms, mfu 54.22%
iter 150: loss 7.2527, time 727.95ms, mfu 54.22%
iter 151: loss 7.3386, time 726.73ms, mfu 54.22%
iter 152: loss 7.1952, time 727.76ms, mfu 54.22%
iter 153: loss 7.4301, time 727.30ms, mfu 54.22%
iter 154: loss 7.3963, time 728.77ms, mfu 54.21%
iter 155: loss 7.2634, time 728.14ms, mfu 54.21%
iter 156: loss 7.4925, time 726.56ms, mfu 54.22%
iter 157: loss 7.2242, time 727.78ms, mfu 54.22%
iter 158: loss 7.3895, time 729.40ms, mfu 54.20%
iter 159: loss 7.2299, time 727.92ms, mfu 54.20%
iter 160: loss 7.4184, time 726.78ms, mfu 54.21%
