step 0: train loss 11.1547, val loss 11.1629
iter 102: loss 7.9816, time 5616.43ms, mfu 31.98%
iter 103: loss 8.0788, time 5630.98ms, mfu 31.97%
iter 104: loss 8.2222, time 5610.70ms, mfu 31.97%
iter 105: loss 7.7126, time 5605.76ms, mfu 31.98%
iter 106: loss 8.0942, time 5616.77ms, mfu 31.98%
iter 107: loss 7.9163, time 5619.98ms, mfu 31.98%
iter 108: loss 7.6882, time 5616.08ms, mfu 31.98%
iter 109: loss 7.9637, time 5604.07ms, mfu 31.98%
iter 110: loss 7.8853, time 5619.07ms, mfu 31.98%
iter 111: loss 7.7727, time 5625.16ms, mfu 31.97%
iter 112: loss 8.0934, time 5614.10ms, mfu 31.97%
iter 113: loss 7.7216, time 5616.52ms, mfu 31.97%
iter 114: loss 7.9316, time 5617.11ms, mfu 31.97%
iter 115: loss 7.8868, time 5602.89ms, mfu 31.98%
iter 116: loss 8.0019, time 5619.81ms, mfu 31.98%
iter 117: loss 7.9298, time 5620.25ms, mfu 31.97%
iter 118: loss 8.0021, time 5616.49ms, mfu 31.97%
iter 119: loss 7.7771, time 5613.35ms, mfu 31.98%
iter 120: loss 8.0997, time 5606.64ms, mfu 31.98%
iter 121: loss 7.6703, time 5626.97ms, mfu 31.97%
iter 122: loss 7.8352, time 5630.86ms, mfu 31.96%
iter 123: loss 7.4750, time 5625.32ms, mfu 31.96%
iter 124: loss 7.6254, time 5632.89ms, mfu 31.95%
iter 125: loss 7.7865, time 5634.65ms, mfu 31.94%
iter 126: loss 8.2191, time 5647.89ms, mfu 31.93%
iter 127: loss 8.0971, time 5636.85ms, mfu 31.92%
iter 128: loss 7.7955, time 5638.99ms, mfu 31.91%
iter 129: loss 7.8290, time 5638.27ms, mfu 31.91%
iter 130: loss 7.9493, time 5610.52ms, mfu 31.92%
iter 131: loss 7.6510, time 5636.85ms, mfu 31.91%
iter 132: loss 7.4721, time 5639.25ms, mfu 31.90%
iter 133: loss 7.2764, time 5643.44ms, mfu 31.89%
iter 134: loss 7.6217, time 5626.49ms, mfu 31.90%
iter 135: loss 7.7183, time 5647.52ms, mfu 31.89%
iter 136: loss 7.4753, time 5622.99ms, mfu 31.89%
