step 0: train loss 11.0393, val loss 11.0395
iter 102: loss 8.5543, time 2558.66ms, mfu 11.18%
iter 103: loss 8.5227, time 2603.28ms, mfu 11.16%
iter 104: loss 8.5567, time 2586.59ms, mfu 11.16%
iter 105: loss 8.4212, time 2589.17ms, mfu 11.15%
iter 106: loss 8.4078, time 2580.49ms, mfu 11.15%
iter 107: loss 8.5058, time 2611.58ms, mfu 11.13%
iter 108: loss 8.3793, time 2550.90ms, mfu 11.15%
iter 109: loss 8.5291, time 2587.70ms, mfu 11.14%
iter 110: loss 8.3415, time 2570.11ms, mfu 11.14%
iter 111: loss 8.4851, time 2585.68ms, mfu 11.14%
iter 112: loss 8.3351, time 2588.93ms, mfu 11.13%
iter 113: loss 8.4183, time 2587.72ms, mfu 11.13%
iter 114: loss 8.4171, time 2566.31ms, mfu 11.14%
iter 115: loss 8.2694, time 2584.94ms, mfu 11.13%
iter 116: loss 8.3209, time 2562.08ms, mfu 11.14%
iter 117: loss 8.2111, time 2573.41ms, mfu 11.14%
iter 118: loss 8.2838, time 2580.73ms, mfu 11.14%
iter 119: loss 8.3050, time 2556.85ms, mfu 11.15%
iter 120: loss 8.3262, time 2594.49ms, mfu 11.14%
iter 121: loss 8.2847, time 2558.84ms, mfu 11.15%
iter 122: loss 8.2656, time 2833.37ms, mfu 11.05%
iter 123: loss 8.2127, time 2303.11ms, mfu 11.19%
iter 124: loss 8.1240, time 2756.77ms, mfu 11.11%
iter 125: loss 8.2446, time 2386.88ms, mfu 11.20%
iter 126: loss 8.1501, time 2645.43ms, mfu 11.17%
iter 127: loss 8.1180, time 2520.57ms, mfu 11.19%
iter 128: loss 8.1864, time 2592.34ms, mfu 11.18%
iter 129: loss 8.1506, time 2570.82ms, mfu 11.18%
iter 130: loss 8.0981, time 2539.06ms, mfu 11.19%
iter 131: loss 8.1291, time 2568.82ms, mfu 11.19%
iter 132: loss 8.1480, time 2569.61ms, mfu 11.19%
iter 133: loss 8.1274, time 2588.55ms, mfu 11.18%
iter 134: loss 7.9920, time 2602.48ms, mfu 11.16%
iter 135: loss 8.0719, time 2588.73ms, mfu 11.16%
iter 136: loss 8.1320, time 2575.39ms, mfu 11.16%
iter 137: loss 8.0322, time 2539.61ms, mfu 11.17%
iter 138: loss 8.0459, time 2581.40ms, mfu 11.17%
iter 139: loss 8.0633, time 2581.41ms, mfu 11.16%
iter 140: loss 7.9580, time 2601.89ms, mfu 11.15%
iter 141: loss 8.0818, time 2577.76ms, mfu 11.15%
iter 142: loss 8.0923, time 2603.21ms, mfu 11.14%
iter 143: loss 7.9659, time 2577.04ms, mfu 11.14%
iter 144: loss 7.9919, time 2570.49ms, mfu 11.14%
iter 145: loss 8.0489, time 2603.16ms, mfu 11.13%
iter 146: loss 7.9756, time 2598.96ms, mfu 11.12%
iter 147: loss 7.8753, time 2566.11ms, mfu 11.13%
iter 148: loss 7.9485, time 2602.13ms, mfu 11.12%
iter 149: loss 7.8928, time 2552.02ms, mfu 11.13%
iter 150: loss 7.9014, time 2577.20ms, mfu 11.13%
iter 151: loss 7.8488, time 2603.21ms, mfu 11.12%
iter 152: loss 7.8647, time 2571.48ms, mfu 11.13%
iter 153: loss 7.8194, time 2557.48ms, mfu 11.14%
iter 154: loss 7.8652, time 2568.72ms, mfu 11.14%
iter 155: loss 7.7925, time 2573.20ms, mfu 11.14%
iter 156: loss 7.8245, time 2601.03ms, mfu 11.13%
iter 157: loss 7.8146, time 2872.77ms, mfu 11.02%
iter 158: loss 7.7511, time 2266.47ms, mfu 11.18%
iter 159: loss 7.7318, time 2576.90ms, mfu 11.18%
iter 160: loss 7.7401, time 2585.48ms, mfu 11.17%
iter 161: loss 7.8298, time 2588.21ms, mfu 11.16%
iter 162: loss 7.7023, time 2597.56ms, mfu 11.15%
iter 163: loss 7.8252, time 2683.74ms, mfu 11.11%
iter 164: loss 7.7425, time 2479.88ms, mfu 11.15%
iter 165: loss 7.6318, time 2588.48ms, mfu 11.15%
iter 166: loss 7.6224, time 2572.55ms, mfu 11.15%
