step 0: train loss 11.0828, val loss 11.0829
iter 105: loss 8.5204, time 848.39ms, mfu 31.14%
iter 106: loss 8.5320, time 850.39ms, mfu 31.14%
iter 107: loss 8.4310, time 849.55ms, mfu 31.13%
iter 108: loss 8.4520, time 848.48ms, mfu 31.13%
iter 109: loss 8.4381, time 849.67ms, mfu 31.12%
iter 110: loss 8.4554, time 850.03ms, mfu 31.12%
iter 111: loss 8.3949, time 851.30ms, mfu 31.11%
iter 112: loss 8.3727, time 849.51ms, mfu 31.11%
iter 113: loss 8.3692, time 851.36ms, mfu 31.10%
iter 114: loss 8.4469, time 850.90ms, mfu 31.09%
iter 115: loss 8.3196, time 848.83ms, mfu 31.09%
iter 116: loss 8.3648, time 849.72ms, mfu 31.09%
iter 117: loss 8.4261, time 850.53ms, mfu 31.09%
iter 118: loss 8.4213, time 852.07ms, mfu 31.08%
iter 119: loss 8.2835, time 850.57ms, mfu 31.07%
iter 120: loss 8.3306, time 851.69ms, mfu 31.07%
iter 121: loss 8.4050, time 851.32ms, mfu 31.06%
iter 122: loss 8.2920, time 852.96ms, mfu 31.05%
iter 123: loss 8.2725, time 849.56ms, mfu 31.05%
iter 124: loss 8.3072, time 852.92ms, mfu 31.05%
iter 125: loss 8.2634, time 851.79ms, mfu 31.04%
iter 126: loss 8.2647, time 852.00ms, mfu 31.04%
iter 127: loss 8.2726, time 853.17ms, mfu 31.03%
iter 128: loss 8.2840, time 850.81ms, mfu 31.03%
iter 129: loss 8.0909, time 852.18ms, mfu 31.02%
iter 130: loss 8.1277, time 852.58ms, mfu 31.02%
iter 131: loss 8.1073, time 851.75ms, mfu 31.02%
iter 132: loss 8.1669, time 851.55ms, mfu 31.02%
iter 133: loss 8.0380, time 852.38ms, mfu 31.01%
iter 134: loss 8.0539, time 852.88ms, mfu 31.01%
iter 135: loss 8.1752, time 851.70ms, mfu 31.01%
iter 136: loss 8.0762, time 851.42ms, mfu 31.01%
iter 137: loss 8.1687, time 852.53ms, mfu 31.00%
iter 138: loss 8.0931, time 854.15ms, mfu 31.00%
iter 139: loss 8.1218, time 852.28ms, mfu 30.99%
iter 140: loss 7.9808, time 853.81ms, mfu 30.99%
iter 141: loss 8.0469, time 850.93ms, mfu 30.99%
iter 142: loss 7.8941, time 852.04ms, mfu 30.99%
iter 143: loss 8.0161, time 852.72ms, mfu 30.99%
iter 144: loss 8.0955, time 851.26ms, mfu 30.99%
iter 145: loss 8.0084, time 853.41ms, mfu 30.99%
iter 146: loss 7.8592, time 853.23ms, mfu 30.98%
iter 147: loss 7.8754, time 855.20ms, mfu 30.97%
iter 148: loss 8.0187, time 867.64ms, mfu 30.92%
iter 149: loss 7.8902, time 852.62ms, mfu 30.92%
iter 150: loss 7.8601, time 853.57ms, mfu 30.93%
