step 0: train loss 10.9823, val loss 10.9847
iter 104: loss 8.4816, time 549.87ms, mfu 33.48%
iter 105: loss 8.4798, time 551.47ms, mfu 33.47%
iter 106: loss 8.4614, time 547.25ms, mfu 33.49%
iter 107: loss 8.3675, time 547.49ms, mfu 33.51%
iter 108: loss 8.4709, time 549.42ms, mfu 33.52%
iter 109: loss 8.3836, time 562.70ms, mfu 33.44%
iter 110: loss 8.3845, time 535.70ms, mfu 33.54%
iter 111: loss 8.4123, time 543.85ms, mfu 33.57%
iter 112: loss 8.4033, time 551.14ms, mfu 33.56%
iter 113: loss 8.3913, time 549.41ms, mfu 33.56%
iter 114: loss 8.4136, time 547.15ms, mfu 33.57%
iter 115: loss 8.3921, time 548.87ms, mfu 33.58%
iter 116: loss 8.3502, time 551.10ms, mfu 33.56%
iter 117: loss 8.3807, time 562.05ms, mfu 33.49%
iter 118: loss 8.3479, time 536.80ms, mfu 33.57%
iter 119: loss 8.2380, time 549.03ms, mfu 33.57%
iter 120: loss 8.2162, time 545.19ms, mfu 33.60%
iter 121: loss 8.2574, time 553.48ms, mfu 33.57%
iter 122: loss 8.2558, time 546.05ms, mfu 33.59%
iter 123: loss 8.2271, time 546.22ms, mfu 33.60%
iter 124: loss 8.1065, time 551.48ms, mfu 33.59%
iter 125: loss 8.1072, time 547.64ms, mfu 33.59%
iter 126: loss 8.2472, time 547.91ms, mfu 33.60%
