step 0: train loss 11.0829, val loss 11.0831
iter 102: loss 8.5464, time 1570.19ms, mfu 32.11%
iter 103: loss 8.5412, time 1571.32ms, mfu 32.12%
iter 104: loss 8.6067, time 1570.94ms, mfu 32.13%
iter 105: loss 8.4344, time 1574.94ms, mfu 32.13%
iter 106: loss 8.5570, time 1570.61ms, mfu 32.14%
iter 107: loss 8.5274, time 1591.11ms, mfu 32.11%
iter 108: loss 8.4607, time 1610.90ms, mfu 32.04%
iter 109: loss 8.4371, time 1571.95ms, mfu 32.05%
iter 110: loss 8.3910, time 1570.14ms, mfu 32.07%
iter 111: loss 8.3974, time 1567.97ms, mfu 32.09%
iter 112: loss 8.3461, time 1570.69ms, mfu 32.11%
iter 113: loss 8.3837, time 1571.91ms, mfu 32.12%
iter 114: loss 8.3547, time 1572.79ms, mfu 32.12%
iter 115: loss 8.3395, time 1571.35ms, mfu 32.13%
iter 116: loss 8.2639, time 1570.42ms, mfu 32.14%
iter 117: loss 8.2983, time 1574.57ms, mfu 32.14%
iter 118: loss 8.3300, time 1569.79ms, mfu 32.15%
iter 119: loss 8.2774, time 1658.92ms, mfu 31.99%
iter 120: loss 8.2835, time 1596.37ms, mfu 31.96%
iter 121: loss 8.3223, time 1572.76ms, mfu 31.98%
iter 122: loss 8.2040, time 1571.72ms, mfu 32.00%
iter 123: loss 8.2078, time 1572.04ms, mfu 32.02%
iter 124: loss 8.2084, time 1572.73ms, mfu 32.04%
iter 125: loss 8.1498, time 1572.54ms, mfu 32.05%
iter 126: loss 8.1373, time 1722.61ms, mfu 31.79%
iter 127: loss 8.2653, time 1591.95ms, mfu 31.79%
iter 128: loss 8.1740, time 1614.63ms, mfu 31.74%
iter 129: loss 8.1769, time 1570.25ms, mfu 31.79%
iter 130: loss 8.1522, time 1573.56ms, mfu 31.83%
iter 131: loss 8.1754, time 1572.75ms, mfu 31.86%
iter 132: loss 8.1992, time 1724.34ms, mfu 31.61%
iter 133: loss 8.0768, time 1608.09ms, mfu 31.60%
